Treatment,Replicate,Phage,Phage.Background,Host.Timepoint,1,2,3,4,5,6,7,8,9,10,11,12
5-clone,9,1,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,2,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,3,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,4,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,5,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,6,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,7,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,8,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,9,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,10,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,11,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,12,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,1,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,2,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,3,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,4,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,5,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,6,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,7,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,8,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,9,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,10,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,11,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,12,Future,3,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,1,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,2,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,3,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,4,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,5,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,6,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,7,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,8,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,9,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,10,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,11,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,12,Future,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,1,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,2,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,3,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,4,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,5,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,6,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,7,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,8,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,9,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,10,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,11,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,12,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0
