Treatment,Replicate,Phage,Phage.Background,Host.Timepoint,1,2,3,4,5,6,7,8,9,10,11,12
5-clone,2,1,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,2,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,3,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,4,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,5,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,6,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,7,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,8,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,9,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,10,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,11,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,12,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
5-clone,2,1,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,2,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,3,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,4,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,5,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,6,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,7,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,8,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,9,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,10,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,11,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,12,Future,3,1,0,1,1,1,0,1,1,0,0,1,0
5-clone,2,1,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,2,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,3,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,4,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,5,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,6,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,7,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,8,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,9,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,10,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,11,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,12,Future,5,0,1,0,0,1,0,1,1,0,0,0,1
5-clone,2,1,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,2,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,3,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,4,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,5,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,6,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,7,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,8,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,9,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,10,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,11,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
5-clone,2,12,Contemporary,7,1,1,0,1,1,0,1,1,1,1,1,1
